StartDate,RowCount
2021-01-01,8
2021-01-03,94
2021-01-11,93
2021-01-15,55
2021-01-19,73
2021-01-22,4
2021-01-25,21
2021-01-26,377
2021-02-01,11774
2021-02-02,10
2021-02-04,471
2021-02-05,95
2021-02-06,1
2021-02-08,95
2021-02-09,12
2021-02-11,3
2021-02-13,21
2021-02-14,488
2021-02-19,99
2021-02-20,1
2021-02-21,155
2021-02-22,543
2021-02-25,1882
2021-02-26,216
2021-02-27,89
2021-03-01,4974
2021-03-02,883
2021-03-03,2
2021-03-04,935
2021-03-05,2128
2021-03-06,402
2021-03-07,1
2021-03-08,501
2021-03-09,2870
2021-03-10,200505
2021-03-11,777
2021-03-12,6757
2021-03-13,44
2021-03-14,3
2021-03-15,90406
2021-03-16,16417
2021-03-17,2474
2021-03-18,9576
2021-03-19,31609
2021-03-20,4577
2021-03-21,1295
2021-03-22,67883
2021-03-23,26622
2021-03-24,7106
2021-03-25,13606
2021-03-26,42059
2021-03-27,4331
2021-03-28,206
2021-03-29,60689
2021-03-30,28785
2021-03-31,4060
2021-04-01,9261
2021-04-02,47424
2021-04-03,6736
2021-04-04,1324
2021-04-05,64822
2021-04-06,26114
2021-04-07,175932
2021-04-08,6799
2021-04-09,59738
2021-04-10,1269
2021-04-11,22449
2021-04-12,68382
2021-04-13,24790
2021-04-14,5591
2021-04-15,5527
2021-04-16,56730
2021-04-17,1096
2021-04-18,1476
2021-04-19,69848
2021-04-20,35027
2021-04-21,3305
2021-04-22,2830
2021-04-23,18275
2021-04-24,25351
2021-04-25,222
2021-04-26,66379
2021-04-27,41527
2021-04-28,18194
2021-04-29,5200
2021-04-30,67678
2021-05-01,15363
2021-05-02,5902
2021-05-03,63646
2021-05-04,25818
2021-05-05,27764
2021-05-06,5147
2021-05-07,41333
2021-05-08,7823
2021-05-09,249
2021-05-10,65479
2021-05-11,28316
2021-05-12,174708
2021-05-13,10819
2021-05-14,45412
2021-05-15,1656
2021-05-16,3360
2021-05-17,77881
2021-05-18,31287
2021-05-19,7129
2021-05-20,6431
2021-05-21,26663
2021-05-22,24444
2021-05-23,338
2021-05-24,65786
2021-05-25,23249
2021-05-26,9133
2021-05-27,9615
2021-05-28,41867
2021-05-29,5024
2021-05-30,1087
2021-05-31,58546
2021-06-01,37164
2021-06-02,13211
2021-06-03,5382
2021-06-04,44237
2021-06-05,4112
2021-06-06,320
2021-06-07,66470
2021-06-08,18976
2021-06-09,163148
2021-06-10,20695
2021-06-11,45046
2021-06-12,30012
2021-06-13,60
2021-06-14,70409
2021-06-15,42479
2021-06-16,31101
2021-06-17,6086
2021-06-18,52109
2021-06-19,3989
2021-06-20,1205
2021-06-21,70237
2021-06-22,27789
2021-06-23,3383
2021-06-24,6332
2021-06-25,18357
2021-06-26,3365
2021-06-27,1111
2021-06-28,89369
2021-06-29,21690
2021-06-30,3674
2021-07-01,6542
2021-07-02,28725
2021-07-03,3027
2021-07-04,1099
2021-07-05,89716
2021-07-06,26928
2021-07-07,160169
2021-07-08,5660
2021-07-09,29349
2021-07-10,3801
2021-07-11,1558
2021-07-12,88266
2021-07-13,45063
2021-07-14,29309
2021-07-15,6172
2021-07-16,75063
2021-07-17,3522
2021-07-18,232
2021-07-19,66764
2021-07-20,18085
2021-07-21,15455
2021-07-22,4425
2021-07-23,27760
2021-07-24,1758
2021-07-25,183
2021-07-26,69876
2021-07-27,40208
2021-07-28,17502
2021-07-29,10488
2021-07-30,25105
2021-07-31,3782
2021-08-01,3600
2021-08-02,66864
2021-08-03,25747
2021-08-04,164953
2021-08-05,12278
2021-08-06,29091
2021-08-07,2237
2021-08-08,115
2021-08-09,66747
2021-08-10,20800
2021-08-11,7636
2021-08-12,30221
2021-08-13,27895
2021-08-14,3578
2021-08-15,179
2021-08-16,67817
2021-08-17,22291
2021-08-18,5463
2021-08-19,4243
2021-08-20,42287
2021-08-21,22863
2021-08-22,74
2021-08-23,73051
2021-08-24,51138
2021-08-25,3708
2021-08-26,4398
2021-08-27,41742
2021-08-28,10643
2021-08-29,99
2021-08-30,75568
2021-08-31,47501
2021-09-01,187045
2021-09-02,8004
2021-09-03,40595
2021-09-04,35460
2021-09-05,145
2021-09-06,75987
2021-09-07,47824
2021-09-08,3527
2021-09-09,25097
2021-09-10,23757
2021-09-11,3662
2021-09-12,19106
2021-09-13,76306
2021-09-14,56097
2021-09-15,6490
2021-09-16,11826
2021-09-17,28418
2021-09-18,3470
2021-09-19,381
2021-09-20,75234
2021-09-21,65654
2021-09-22,2040
2021-09-23,20960
2021-09-24,26507
2021-09-25,1165
2021-09-26,1101
2021-09-27,65544
2021-09-28,6063
2021-09-29,175445
2021-09-30,5177
2021-10-01,9762
2021-10-02,1
2021-10-03,4
2021-10-04,46
2021-10-05,126
2021-10-06,6
2021-10-07,1
2021-10-08,1
2021-10-09,19
2021-10-10,2
2021-10-11,57
2021-10-12,11
2021-10-14,80
2021-10-16,26
2021-10-17,7
2021-10-22,6
