Date,RowCount
2021-06-20,326834
2021-06-21,462904
2021-06-22,191348
2021-06-23,417688
2021-06-24,484940
2021-06-25,654532
2021-06-26,411041
2021-06-27,460903
2021-06-28,436232
2021-06-29,160276
2021-06-30,186663
2021-07-01,283315
2021-07-02,354081
2021-07-03,203290
2021-07-04,99858
2021-07-05,183675
2021-07-06,240133
2021-07-07,379603
2021-07-08,91322
2021-07-09,171195
2021-07-10,133508
2021-07-11,386672
2021-07-12,192239
2021-07-13,181867
2021-07-14,214449
2021-07-15,262517
2021-07-16,161205
2021-07-17,171627
2021-07-18,150311
2021-07-19,546206
2021-07-20,269983
2021-07-21,578849
2021-07-22,439987
2021-07-23,468017
2021-07-24,475805
2021-07-25,359383
2021-07-26,483571
2021-07-27,419037
2021-07-28,353920
2021-07-29,481598
2021-07-30,510622
2021-07-31,229798
2021-08-01,587090
2021-08-02,536943
2021-08-03,622689
2021-08-04,768277
2021-08-05,725623
2021-08-06,830827
2021-08-07,562727
2021-08-08,533395
2021-08-09,463154
2021-08-10,529931
2021-08-11,493696
2021-08-12,608161
2021-08-13,645619
2021-08-14,510570
2021-08-15,448125
2021-08-16,372137
2021-08-17,498821
2021-08-18,380717
2021-08-19,730181
2021-08-20,863744
2021-08-21,734322
2021-08-22,693760
2021-08-23,563520
2021-08-24,816791
2021-08-25,167077
2021-08-26,736629
2021-08-27,896889
2021-08-28,506549
2021-08-29,815561
2021-08-30,828940
2021-08-31,866665
2021-09-01,777822
2021-09-02,738564
2021-09-03,775477
2021-09-04,668096
2021-09-05,667077
2021-09-06,729769
2021-09-07,648885
2021-09-08,670135
2021-09-09,658345
2021-09-10,624229
2021-09-11,690407
2021-09-12,703174
2021-09-13,214021
2021-09-14,666438
2021-09-15,606243
2021-09-16,829487
2021-09-17,956239
2021-09-18,755626
2021-09-19,474253
