Date,RowCount
2021-06-20,1303112
2021-06-21,907222
2021-06-22,1284429
2021-06-23,1813993
2021-06-24,921145
2021-06-25,923153
2021-06-26,1805421
2021-06-27,958477
2021-06-28,906211
2021-06-29,891371
2021-06-30,902215
2021-07-01,920096
2021-07-02,932862
2021-07-03,927949
2021-07-04,921089
2021-07-05,1800211
2021-07-06,1325902
2021-07-07,1794200
2021-07-08,1303190
2021-07-09,1281046
2021-07-10,948283
2021-07-11,1748918
2021-07-12,1744105
2021-07-13,1744746
2021-07-14,1286271
2021-07-15,947533
2021-07-16,942645
2021-07-17,954458
2021-07-18,1290309
2021-07-19,970107
2021-07-20,1271589
2021-07-21,1281318
2021-07-22,1261444
2021-07-23,886471
2021-07-24,1222305
2021-07-25,908142
2021-07-26,954507
2021-07-27,1283425
2021-07-28,1350381
2021-07-29,953482
2021-07-30,1303093
2021-07-31,1312977
2021-08-01,926913
2021-08-02,1805699
2021-08-03,1807468
2021-08-04,1320933
2021-08-05,1286420
2021-08-06,940416
2021-08-07,913886
2021-08-08,1256494
2021-08-09,944406
2021-08-10,904027
2021-08-11,962466
2021-08-12,1321943
2021-08-13,1817626
2021-08-14,1821064
2021-08-15,924203
2021-08-16,904514
2021-08-17,941966
2021-08-18,976363
2021-08-19,918221
2021-08-20,1239395
2021-08-21,935056
2021-08-22,899555
2021-08-23,1315319
2021-08-24,1830454
2021-08-25,1824361
2021-08-26,954579
2021-08-27,906361
2021-08-28,957563
2021-08-29,914242
2021-08-30,1836302
2021-08-31,1311244
2021-09-01,1306205
2021-09-02,1277693
2021-09-03,930776
2021-09-04,1783163
2021-09-05,971998
2021-09-06,932546
2021-09-07,1254517
2021-09-08,1255901
2021-09-09,949636
2021-09-10,940844
2021-09-11,942837
2021-09-12,1816116
2021-09-13,891552
2021-09-14,1270710
2021-09-15,944669
2021-09-16,1766744
2021-09-17,913189
2021-09-18,934872
2021-09-19,1287425
